layer,soft_mean_weight,hard_selected_dims,hard_selected_share
1,0.20120865106582642,164,0.2135416716337204
3,0.19859056174755096,144,0.1875
6,0.19953130185604095,155,0.2018229216337204
9,0.19982470571994781,143,0.1861979216337204
12,0.20084470510482788,162,0.2109375
