epoch,train_loss,val_loss,macro_f1
1,0.495392,0.421557,0.635496
2,0.425829,0.417261,0.646893
3,0.39535,0.428344,0.652776
4,0.363342,0.441445,0.650866
5,0.342714,0.461702,0.640226
6,0.312359,0.482553,0.644533
7,0.28179,0.520743,0.642869
8,0.253454,0.565998,0.643017
9,0.236374,0.583199,0.636172
10,0.212539,0.618763,0.63717
11,0.195833,0.65422,0.635828
12,0.183151,0.662926,0.635895
13,0.163378,0.69949,0.627088
14,0.156198,0.719457,0.639448
15,0.143795,0.729301,0.64299
16,0.130377,0.78482,0.646567
17,0.123643,0.837735,0.636545
18,0.118125,0.861873,0.630169
19,0.104514,0.885416,0.632315
20,0.097513,0.908259,0.632415
21,0.093136,0.939377,0.631898
22,0.088141,0.96537,0.634536
23,0.07995,1.010124,0.633238
24,0.07579,1.03072,0.640576
25,0.074431,1.042605,0.627312
26,0.065329,1.084932,0.635724
27,0.057153,1.126259,0.634673
28,0.057815,1.122627,0.638724
29,0.053713,1.164667,0.639298
30,0.051668,1.196162,0.633775
31,0.049079,1.196578,0.635927
32,0.046436,1.206064,0.633796
33,0.043749,1.24235,0.635582
34,0.042128,1.26009,0.633508
35,0.040776,1.260883,0.633701
36,0.038259,1.295959,0.634601
37,0.034986,1.304352,0.63483
38,0.036465,1.30548,0.636052
39,0.034798,1.315389,0.636636
40,0.036071,1.316377,0.632363
