class,f1,precision,recall
Block,0.4790003471017008,0.6238698010849909,0.38873239436619716
Prolongation,0.3063457330415755,0.285132382892057,0.3309692671394799
SoundRep,0.15598885793871867,0.1308411214953271,0.19310344827586207
WordRep,0.2730627306273063,0.2846153846153846,0.2624113475177305
Interjection,0.5440464666021297,0.47386172006745364,0.6386363636363637
Fluent,0.5339028296849974,0.47393364928909953,0.6112469437652812
