epoch,train_loss,val_loss,macro_f1
1,0.639283,0.586736,0.030475
2,0.624909,0.581502,0.077246
3,0.620578,0.577096,0.079046
4,0.619525,0.587551,0.187287
5,0.617895,0.574531,0.103919
6,0.614039,0.581196,0.174204
7,0.612829,0.583251,0.202455
8,0.611379,0.574657,0.150766
9,0.61108,0.57575,0.211265
10,0.609464,0.568418,0.186058
11,0.607873,0.574746,0.224777
12,0.604788,0.570493,0.216941
13,0.607796,0.56829,0.188013
14,0.603775,0.570813,0.238576
15,0.606414,0.571819,0.231089
16,0.604104,0.570568,0.271284
17,0.601046,0.570355,0.268033
18,0.600696,0.565394,0.240077
19,0.604084,0.569034,0.275798
20,0.601086,0.566756,0.248263
21,0.601551,0.570552,0.271209
22,0.601743,0.567406,0.255196
23,0.60319,0.56788,0.264667
24,0.601574,0.566593,0.265343
25,0.599512,0.566319,0.275561
26,0.599311,0.566854,0.267411
27,0.597735,0.565434,0.258772
28,0.600032,0.566609,0.267005
29,0.597488,0.565158,0.25261
30,0.597846,0.566452,0.25909
