dim,soft_layer_1,soft_layer_3,soft_layer_6,soft_layer_9,soft_layer_12,hard_selected_layer
0,0.1896527260541916,0.21021029353141785,0.2155490517616272,0.19082652032375336,0.1937614232301712,1
1,0.21745269000530243,0.21072225272655487,0.19276264309883118,0.18746334314346313,0.19159911572933197,6
2,0.20303703844547272,0.17737454175949097,0.20615753531455994,0.2109212875366211,0.2025095820426941,12
3,0.19921718537807465,0.1885339319705963,0.1888292133808136,0.24445952475070953,0.1789601445198059,1
4,0.19615478813648224,0.2422771453857422,0.16341570019721985,0.17725487053394318,0.22089743614196777,3
5,0.1808699071407318,0.18582476675510406,0.1869434267282486,0.25280335545539856,0.19355852901935577,9
6,0.2249162346124649,0.26231649518013,0.15526753664016724,0.16447441279888153,0.19302533566951752,9
7,0.22056977450847626,0.20454709231853485,0.15918311476707458,0.1964414268732071,0.21925856173038483,1
8,0.19592581689357758,0.2038784921169281,0.19626063108444214,0.22244586050510406,0.18148918449878693,1
9,0.21551832556724548,0.19537417590618134,0.1790691465139389,0.2188299298286438,0.19120846688747406,1
10,0.17344467341899872,0.19178831577301025,0.24097223579883575,0.18177680671215057,0.2120179533958435,6
11,0.21561980247497559,0.18287619948387146,0.2079448699951172,0.17391717433929443,0.21964193880558014,1
12,0.17375484108924866,0.19893865287303925,0.21699458360671997,0.2145233154296875,0.1957886517047882,12
13,0.25079166889190674,0.21444092690944672,0.15472011268138885,0.1747523844242096,0.20529496669769287,3
14,0.2168581634759903,0.2399924248456955,0.15656007826328278,0.1808461844921112,0.20574310421943665,12
15,0.22016435861587524,0.1639048457145691,0.18246495723724365,0.21596437692642212,0.2175014615058899,12
16,0.1801920235157013,0.21084608137607574,0.2177782505750656,0.20511528849601746,0.1860683709383011,12
17,0.186595156788826,0.17820897698402405,0.19558009505271912,0.2431587129831314,0.19645696878433228,9
18,0.19185610115528107,0.16718310117721558,0.19279678165912628,0.22200877964496613,0.22615519165992737,1
19,0.20019903779029846,0.2038523554801941,0.22693036496639252,0.16060210764408112,0.20841610431671143,3
20,0.19810916483402252,0.22690488398075104,0.17304600775241852,0.18297995626926422,0.2189599871635437,12
21,0.22080907225608826,0.18695595860481262,0.2140362709760666,0.18665169179439545,0.1915469765663147,1
22,0.1785760223865509,0.171193927526474,0.1970423460006714,0.18437278270721436,0.26881489157676697,6
23,0.17116792500019073,0.1821434497833252,0.25407883524894714,0.20639686286449432,0.18621288239955902,1
24,0.2012769728899002,0.18697448074817657,0.20694796741008759,0.20182077586650848,0.20297978818416595,9
25,0.18619294464588165,0.21862632036209106,0.21435770392417908,0.18336474895477295,0.19745828211307526,9
26,0.20390664041042328,0.22057923674583435,0.19032399356365204,0.18195490539073944,0.20323523879051208,1
27,0.1923682540655136,0.22157424688339233,0.2093771994113922,0.1998712718486786,0.17680896818637848,1
28,0.16789472103118896,0.1850561946630478,0.22534872591495514,0.19035287201404572,0.2313474416732788,6
29,0.20576158165931702,0.19855965673923492,0.23814672231674194,0.1961921900510788,0.1613398790359497,6
30,0.17952625453472137,0.19255416095256805,0.21885184943675995,0.22470557689666748,0.18436221778392792,1
31,0.19794917106628418,0.1788414567708969,0.22399620711803436,0.21981275081634521,0.17940039932727814,6
32,0.19178426265716553,0.21105317771434784,0.1837979406118393,0.2165650725364685,0.19679951667785645,9
33,0.19596093893051147,0.19750913977622986,0.22871387004852295,0.1962781846523285,0.18153789639472961,1
34,0.18027304112911224,0.16715680062770844,0.1994752138853073,0.2752901613712311,0.17780478298664093,1
35,0.19671055674552917,0.21682730317115784,0.1842157542705536,0.19320030510425568,0.20904609560966492,12
36,0.21427102386951447,0.20343446731567383,0.2044365108013153,0.18944402039051056,0.18841397762298584,12
37,0.19509676098823547,0.18719631433486938,0.19895796477794647,0.20783475041389465,0.2109142243862152,3
38,0.22361010313034058,0.19925028085708618,0.17007559537887573,0.18487706780433655,0.2221868932247162,1
39,0.17207829654216766,0.1807950884103775,0.2142626941204071,0.2343260496854782,0.19853785634040833,9
40,0.1960105150938034,0.19349166750907898,0.21060580015182495,0.1708528846502304,0.22903911769390106,3
41,0.16592398285865784,0.21605373919010162,0.24166375398635864,0.2103063464164734,0.1660521924495697,6
42,0.21273238956928253,0.21389256417751312,0.1851784884929657,0.1802644580602646,0.20793211460113525,6
43,0.19720646739006042,0.19566182792186737,0.21356123685836792,0.2376289963722229,0.15594151616096497,1
44,0.20049522817134857,0.21219930052757263,0.19243520498275757,0.17504248023033142,0.21982775628566742,1
45,0.19365444779396057,0.20675580203533173,0.19283419847488403,0.198569655418396,0.20818595588207245,3
46,0.18973875045776367,0.1898532509803772,0.2081606537103653,0.19795048236846924,0.21429689228534698,9
47,0.2249285876750946,0.19240699708461761,0.1680907905101776,0.18381744623184204,0.23075619339942932,12
48,0.19794821739196777,0.1691058725118637,0.21509794890880585,0.18983907997608185,0.22800889611244202,9
49,0.2209327220916748,0.16917353868484497,0.22147223353385925,0.17703168094158173,0.21138986945152283,12
50,0.2001916617155075,0.18758919835090637,0.23422805964946747,0.19668234884738922,0.18130873143672943,6
51,0.1917102038860321,0.22607408463954926,0.21186073124408722,0.1716289073228836,0.19872605800628662,6
52,0.17966313660144806,0.1787925660610199,0.2642824947834015,0.21050342917442322,0.16675832867622375,1
53,0.19753360748291016,0.18096457421779633,0.18641053140163422,0.2273627370595932,0.2077285498380661,6
54,0.1753823310136795,0.18194562196731567,0.2353082150220871,0.20393966138362885,0.20342420041561127,3
55,0.1903146505355835,0.19593335688114166,0.23316015303134918,0.19279244542121887,0.18779940903186798,12
56,0.2115963101387024,0.24280348420143127,0.20759713649749756,0.1599312275648117,0.17807185649871826,3
57,0.1794063299894333,0.1737619936466217,0.20017680525779724,0.24910393357276917,0.1975509226322174,3
58,0.2135302573442459,0.21090365946292877,0.18368349969387054,0.1590428650379181,0.23283974826335907,1
59,0.2503677308559418,0.184067040681839,0.19202685356140137,0.16267578303813934,0.21086260676383972,9
60,0.23156043887138367,0.17553764581680298,0.24820846319198608,0.183632954955101,0.1610604077577591,12
