epoch,train_loss,val_loss,macro_f1
10,0.650962,0.642711,0.138275
20,0.602632,0.596722,0.024922
30,0.572395,0.567708,0.05392
40,0.55308,0.54862,0.105149
50,0.540205,0.53784,0.191364
60,0.530149,0.529614,0.254248
70,0.52162,0.521747,0.300676
80,0.515071,0.515152,0.328064
90,0.509517,0.509797,0.356979
100,0.505576,0.505101,0.390578
110,0.501145,0.501236,0.422307
120,0.49769,0.498285,0.436847
130,0.496506,0.496166,0.446411
140,0.495087,0.494635,0.451588
150,0.49321,0.493584,0.453669
160,0.493491,0.492861,0.45694
170,0.492697,0.492357,0.459051
180,0.492465,0.492016,0.460314
190,0.492083,0.491757,0.461531
200,0.492093,0.491563,0.461809
