epoch,train_loss,val_loss,macro_f1
1,0.627699,0.567827,0.038604
2,0.603781,0.567479,0.278669
3,0.59036,0.564039,0.380779
4,0.586511,0.556773,0.404093
5,0.581595,0.548263,0.414767
6,0.57484,0.542968,0.390674
7,0.575877,0.551455,0.410904
8,0.575133,0.536661,0.366908
9,0.572657,0.534863,0.385021
10,0.573072,0.536829,0.377992
11,0.570798,0.537557,0.359466
12,0.566893,0.540878,0.416454
13,0.569796,0.541348,0.465579
14,0.566665,0.539013,0.442984
15,0.568752,0.536675,0.43298
16,0.568508,0.529955,0.399063
17,0.564777,0.534202,0.415304
18,0.567041,0.529281,0.408093
19,0.566505,0.540916,0.396962
20,0.563933,0.530065,0.41222
21,0.566389,0.535795,0.438167
22,0.564457,0.528891,0.433103
23,0.565793,0.529588,0.419493
24,0.56362,0.532696,0.421057
25,0.566844,0.529739,0.432609
26,0.562608,0.529241,0.418613
27,0.564092,0.530431,0.434627
28,0.563205,0.531338,0.438535
29,0.559316,0.528908,0.427161
30,0.55969,0.528593,0.417537
