epoch,train_loss,val_loss,macro_f1
1,0.635194,0.580511,0.120159
2,0.608914,0.568715,0.239173
3,0.597839,0.553948,0.286968
4,0.586359,0.540845,0.233471
5,0.581137,0.552733,0.417371
6,0.575816,0.545017,0.446916
7,0.575855,0.532005,0.39226
8,0.571721,0.528454,0.385439
9,0.569192,0.541078,0.373692
10,0.569276,0.528483,0.408846
11,0.564082,0.528554,0.429346
12,0.563379,0.527704,0.416454
13,0.562897,0.532432,0.412582
14,0.560862,0.526506,0.4494
15,0.56147,0.527217,0.457087
16,0.558626,0.521323,0.444536
17,0.558764,0.520574,0.435915
18,0.559002,0.52261,0.421966
19,0.557241,0.521326,0.450643
20,0.553179,0.527069,0.465524
21,0.555952,0.52307,0.466757
22,0.55451,0.522936,0.455793
23,0.556654,0.526293,0.470232
24,0.55175,0.519398,0.427943
25,0.555794,0.520088,0.45449
26,0.552383,0.523277,0.47309
27,0.554035,0.517154,0.44236
28,0.554205,0.520535,0.459737
29,0.552908,0.518006,0.453591
30,0.554981,0.519904,0.457882
