epoch,train_loss,val_loss,macro_f1
10,0.621772,0.609141,0.033722
20,0.594097,0.584575,0.003991
30,0.586406,0.576222,0.070268
40,0.577585,0.567663,0.10244
50,0.567453,0.558858,0.131558
60,0.560255,0.552068,0.195568
70,0.554999,0.547848,0.232466
80,0.550654,0.544785,0.250136
90,0.547989,0.542401,0.266213
100,0.544932,0.540566,0.286538
110,0.544816,0.539048,0.299691
120,0.542993,0.538119,0.313998
130,0.541759,0.537401,0.3189
140,0.541177,0.536842,0.32524
150,0.540816,0.536477,0.3255
160,0.540128,0.536224,0.327197
170,0.53961,0.536043,0.329239
180,0.540165,0.535893,0.33226
190,0.540429,0.53581,0.332545
200,0.540391,0.535736,0.332967
