epoch,train_loss,val_loss,macro_f1
10,0.651031,0.642645,0.145545
20,0.602571,0.596479,0.030254
30,0.571194,0.56635,0.059597
40,0.551554,0.547016,0.112249
50,0.538796,0.536347,0.210953
60,0.528581,0.527889,0.266319
70,0.519983,0.519946,0.310472
80,0.51348,0.513417,0.338388
90,0.507848,0.508002,0.378689
100,0.504006,0.503349,0.411673
110,0.499878,0.4997,0.433899
120,0.496704,0.497022,0.445581
130,0.495583,0.495144,0.451705
140,0.494289,0.493793,0.45428
150,0.492563,0.492854,0.458589
160,0.492904,0.492203,0.463148
170,0.492153,0.491748,0.465065
180,0.491946,0.491438,0.465511
190,0.491535,0.491201,0.466523
200,0.491509,0.491024,0.467625
