epoch,train_loss,val_loss,macro_f1
1,0.601902,0.533141,0.397898
2,0.550577,0.523646,0.446292
3,0.516951,0.537506,0.432425
4,0.491245,0.542612,0.480185
5,0.46688,0.506025,0.511977
6,0.443638,0.518395,0.478152
7,0.423531,0.582,0.483962
8,0.401353,0.569781,0.423934
9,0.38548,0.565406,0.529052
10,0.361515,0.602548,0.550339
11,0.343941,0.577768,0.503309
12,0.325532,0.598916,0.488146
13,0.306836,0.637277,0.502163
14,0.287665,0.634215,0.514099
15,0.269594,0.632022,0.505065
16,0.252499,0.685324,0.51621
17,0.235892,0.727198,0.535487
18,0.222696,0.709689,0.508739
19,0.214027,0.716855,0.50855
20,0.201953,0.833966,0.507332
21,0.191702,0.80978,0.522116
22,0.180903,0.774932,0.512356
23,0.172525,0.836494,0.514176
24,0.163548,0.824142,0.506421
25,0.156451,0.835413,0.488275
26,0.150455,0.861404,0.519611
27,0.140138,0.914049,0.51925
28,0.141289,0.910771,0.528708
29,0.130346,0.951118,0.524822
30,0.125134,0.966618,0.515377
31,0.11815,0.938159,0.514831
32,0.114883,0.981477,0.512465
33,0.109265,0.997849,0.524556
34,0.105965,1.006243,0.509605
35,0.104498,1.025234,0.529825
36,0.098928,1.026045,0.510901
37,0.094956,1.023762,0.521072
38,0.09446,1.043275,0.52452
39,0.093017,1.048714,0.516206
40,0.090197,1.078119,0.508452
41,0.088821,1.077392,0.516551
42,0.084858,1.068062,0.524977
43,0.082994,1.089717,0.52006
44,0.082002,1.090975,0.526029
45,0.080739,1.093187,0.518105
46,0.077816,1.112343,0.52713
47,0.077281,1.105273,0.52237
48,0.076502,1.121141,0.526389
49,0.075701,1.115149,0.526907
50,0.076338,1.115811,0.519435
