model,rank,layer,macro_f1
hubert-large,1,21,0.37273
hubert-large,2,12,0.36113
hubert-large,3,18,0.35853
hubert-large,4,23,0.3585
hubert-large,5,6,0.32351
whisper-large,1,31,0.41349
whisper-large,2,28,0.40495
whisper-large,3,24,0.3712
whisper-large,4,16,0.32757
whisper-large,5,8,0.31823
