epoch,train_loss,val_loss,val_f1,lr
1,0.687875,0.678258,0.553626,0.0002982455885348071
2,0.666157,0.646772,0.563298,0.0002930255535720594
3,0.63799,0.663975,0.396709,0.0002844684296968424
4,0.621269,0.617587,0.59382,0.00027278492169843
5,0.612127,0.630497,0.590304,0.00025826271631908303
6,0.601677,0.678911,0.575501,0.00024125939845167748
7,0.594635,0.602482,0.568182,0.00022219364621288548
8,0.587645,0.608794,0.556769,0.0002015349216984301
9,0.585333,0.585473,0.612598,0.00017979191126823302
10,0.579927,0.608477,0.606604,0.0001575000000000001
11,0.574103,0.581719,0.612603,0.0001352080887317672
12,0.572805,0.57747,0.615242,0.00011346507830157006
13,0.569087,0.577546,0.620324,9.280635378711463e-05
14,0.566574,0.57946,0.598065,7.374060154832262e-05
15,0.567472,0.577494,0.602922,5.6737283680917e-05
16,0.564444,0.575931,0.609801,4.221507830157001e-05
17,0.564823,0.576467,0.623697,3.0531570303157593e-05
18,0.562599,0.575862,0.622049,2.197444642794062e-05
19,0.560342,0.573451,0.619866,1.6754411465192883e-05
20,0.56112,0.573553,0.619458,1.4999999999999999e-05
