setting,handcrafted_dim,fusion_dim,accuracy,f1,precision,recall,device
ssl_only,0,32,0.6152558584409373,0.5321314335562664,0.5498798076923077,0.5154929577464789,cuda
ssl_plus_energy,2,34,0.6255380200860832,0.5369603784742756,0.5650280024891101,0.5115492957746479,cuda
ssl_plus_zcr,2,34,0.6214729794356767,0.5549620466685409,0.5538720538720538,0.556056338028169,cuda
ssl_plus_jitter,3,35,0.6219512195121951,0.5410740203193033,0.5580838323353293,0.5250704225352113,cuda
ssl_plus_formant,3,35,0.6231468197034912,0.5351032448377581,0.561609907120743,0.5109859154929578,cuda
ssl_plus_all,10,42,0.622907699665232,0.5368575624082232,0.5607361963190184,0.5149295774647887,cuda
