epoch,train_loss,val_loss,macro_f1
1,0.5777,0.490888,0.531769
2,0.478873,0.474699,0.575389
3,0.425372,0.493169,0.564357
4,0.379944,0.50632,0.584842
5,0.332163,0.552367,0.56893
6,0.290238,0.607264,0.566573
7,0.256078,0.622991,0.561118
8,0.215324,0.680982,0.565838
9,0.187535,0.737655,0.554257
10,0.16316,0.787027,0.570291
11,0.136466,0.83039,0.564539
12,0.121297,0.902203,0.559606
13,0.103278,0.97159,0.553212
14,0.0901,1.037923,0.556556
15,0.076428,1.079085,0.557534
16,0.069374,1.119816,0.557624
17,0.057899,1.21094,0.557791
18,0.049925,1.244497,0.558023
19,0.045317,1.28963,0.550534
20,0.03789,1.344854,0.54874
21,0.03454,1.364786,0.546297
22,0.029309,1.375535,0.550932
23,0.025749,1.469169,0.546134
24,0.02348,1.515567,0.561832
25,0.019229,1.565419,0.555289
26,0.01823,1.543585,0.550947
27,0.016354,1.62336,0.550998
28,0.013603,1.658236,0.544862
29,0.011105,1.675025,0.552734
30,0.00908,1.712354,0.553564
31,0.008415,1.742961,0.551508
32,0.006987,1.754213,0.55454
33,0.005954,1.787345,0.554763
34,0.0049,1.792687,0.550193
35,0.004579,1.821937,0.553441
36,0.003748,1.833469,0.548176
37,0.003263,1.853152,0.551989
38,0.002979,1.861452,0.553241
39,0.002977,1.886876,0.553268
40,0.002655,1.897006,0.551738
41,0.002289,1.891843,0.553314
42,0.002483,1.897716,0.554662
43,0.00206,1.918827,0.552927
44,0.001911,1.918072,0.551249
45,0.001987,1.928781,0.553005
46,0.001768,1.927131,0.551701
47,0.001729,1.937478,0.550545
48,0.001695,1.941955,0.550779
49,0.001639,1.940514,0.551671
50,0.00153,1.947847,0.552247
