epoch,train_loss,val_loss,macro_f1
1,0.637715,0.58541,0.059483
2,0.617473,0.584153,0.136395
3,0.612858,0.579804,0.176965
4,0.606139,0.567964,0.172751
5,0.601893,0.567924,0.20709
6,0.6006,0.562088,0.197819
7,0.597353,0.568881,0.228715
8,0.597054,0.565045,0.264743
9,0.593386,0.561961,0.247763
10,0.594861,0.558811,0.308154
11,0.590663,0.563387,0.366611
12,0.588141,0.556564,0.326453
13,0.587661,0.554554,0.348075
14,0.587941,0.554883,0.344184
15,0.586598,0.552975,0.344747
16,0.583459,0.552929,0.378354
17,0.582984,0.567622,0.370948
18,0.585055,0.556983,0.365363
19,0.58482,0.554755,0.348591
20,0.581655,0.55289,0.346728
21,0.582646,0.553312,0.327398
22,0.579643,0.551039,0.355703
23,0.581139,0.54808,0.325449
24,0.57923,0.548698,0.34799
25,0.582249,0.549259,0.338763
26,0.578847,0.551807,0.377986
27,0.57862,0.548837,0.358423
28,0.579269,0.548246,0.343679
29,0.579293,0.54799,0.35765
30,0.580989,0.548303,0.351145
