mfcc_dim,fusion_dim,accuracy,f1,precision,recall,device
13,45,0.6260162601626016,0.5175817396668723,0.5719154737559645,0.47267605633802817,cuda
26,58,0.624103299856528,0.5090568394753279,0.5711282410651717,0.4591549295774648,cuda
39,71,0.6231468197034912,0.5047140163419234,0.5707178393745558,0.4523943661971831,cuda
52,84,0.6202773792443806,0.5268176400476758,0.5591397849462365,0.49802816901408453,cuda
65,97,0.6226685796269728,0.5212378640776699,0.5647600262984879,0.483943661971831,cuda
78,110,0.6248206599713056,0.5258386219401632,0.5671447196870926,0.49014084507042255,cuda
