epoch,train_loss,val_loss,macro_f1,lr
1,0.638052,0.589854,0.033471,0.00029921937008997894
2,0.623898,0.580726,0.162476,0.00029688603310456727
3,0.614812,0.569348,0.165669,0.0002930255535720594
4,0.608779,0.571383,0.220953,0.0002876802277140706
5,0.605501,0.556461,0.251441,0.0002809086200392825
6,0.601145,0.555452,0.324258,0.00027278492169843
7,0.598429,0.549616,0.3291,0.0002633981376305287
8,0.594942,0.547977,0.360016,0.0002528511114061373
9,0.592535,0.550082,0.352908,0.00024125939845167743
10,0.588382,0.552601,0.36127,0.00022875
11,0.586954,0.548336,0.369156,0.0002154599716383016
12,0.583749,0.543819,0.375073,0.00020153492169843005
13,0.583566,0.542492,0.339244,0.00018712741594153072
14,0.579929,0.542853,0.395533,0.00017239530601564066
15,0.579781,0.548708,0.395573,0.0001575000000000001
16,0.579325,0.543237,0.424904,0.00014260469398435946
17,0.576354,0.538036,0.388533,0.00012787258405846935
18,0.573208,0.540317,0.408694,0.00011346507830157006
19,0.574745,0.53994,0.423522,9.954002836169853e-05
20,0.570731,0.536141,0.402653,8.625000000000008e-05
21,0.568261,0.535098,0.404566,7.374060154832264e-05
22,0.564374,0.53433,0.421786,6.214888859386279e-05
23,0.566572,0.532952,0.420942,5.160186236947137e-05
24,0.564654,0.529719,0.438114,4.221507830157003e-05
25,0.564401,0.527244,0.438386,3.409137996071751e-05
26,0.564055,0.52783,0.452785,2.7319772285929374e-05
27,0.558733,0.528456,0.449484,2.197444642794063e-05
28,0.561763,0.52769,0.446921,1.811396689543269e-05
29,0.55788,0.526502,0.450211,1.578062991002104e-05
30,0.561766,0.527113,0.452669,1.4999999999999999e-05
