epoch,tau,train_loss
1,1.0,0.6638545977159768
2,0.9181818181818182,0.6337800174488231
3,0.8363636363636364,0.6184393996343861
4,0.7545454545454545,0.6064989232355485
5,0.6727272727272727,0.5949723649270168
6,0.5909090909090909,0.5836840945549258
7,0.509090909090909,0.5635082242777404
8,0.42727272727272725,0.5446197026171088
9,0.34545454545454546,0.5286706316431183
10,0.26363636363636356,0.5180694344396712
11,0.18181818181818188,0.49069751854348886
12,0.09999999999999998,0.458774898353589
