epoch,train_loss,val_loss,macro_f1,lr
1,0.070429,0.065651,0.481223,0.00029921937008997894
2,0.067299,0.063095,0.520174,0.00029688603310456727
3,0.065287,0.061834,0.532814,0.0002930255535720594
4,0.064545,0.061802,0.531141,0.0002876802277140706
5,0.063648,0.061126,0.532644,0.0002809086200392825
6,0.063144,0.061327,0.536304,0.00027278492169843
7,0.062768,0.061801,0.53258,0.0002633981376305287
8,0.062715,0.062579,0.514451,0.0002528511114061373
9,0.062224,0.061961,0.523251,0.00024125939845167743
10,0.062141,0.061064,0.530951,0.00022875
11,0.061958,0.061211,0.538446,0.0002154599716383016
12,0.061863,0.060237,0.543747,0.00020153492169843005
13,0.061224,0.060399,0.537851,0.00018712741594153072
14,0.06125,0.06075,0.543535,0.00017239530601564066
15,0.061401,0.061454,0.535762,0.0001575000000000001
16,0.060948,0.061057,0.540949,0.00014260469398435946
17,0.060797,0.060572,0.540648,0.00012787258405846935
18,0.060813,0.061285,0.538173,0.00011346507830157006
19,0.060526,0.060197,0.547205,9.954002836169853e-05
20,0.060625,0.060121,0.545452,8.625000000000008e-05
21,0.06039,0.060466,0.53971,7.374060154832264e-05
22,0.060427,0.06096,0.536375,6.214888859386279e-05
23,0.060415,0.060275,0.549659,5.160186236947137e-05
24,0.060172,0.060596,0.541309,4.221507830157003e-05
25,0.060204,0.060388,0.544375,3.409137996071751e-05
26,0.05985,0.059966,0.54934,2.7319772285929374e-05
27,0.060134,0.059942,0.546832,2.197444642794063e-05
28,0.059932,0.060004,0.549726,1.811396689543269e-05
29,0.059727,0.060144,0.545394,1.578062991002104e-05
30,0.059637,0.060147,0.54744,1.4999999999999999e-05
