epoch,train_loss,val_loss,macro_f1,lr
1,0.636171,0.592811,0.0,0.00029921937008997894
2,0.627328,0.57248,0.073638,0.00029688603310456727
3,0.618076,0.576052,0.049154,0.0002930255535720594
4,0.616285,0.577946,0.158051,0.0002876802277140706
5,0.615574,0.576188,0.171623,0.0002809086200392825
6,0.613877,0.569668,0.147437,0.00027278492169843
7,0.611077,0.575783,0.237872,0.0002633981376305287
8,0.611104,0.566776,0.233033,0.0002528511114061373
9,0.6127,0.569131,0.196214,0.00024125939845167743
10,0.609533,0.571621,0.1663,0.00022875
11,0.608791,0.570121,0.201518,0.0002154599716383016
12,0.60736,0.565381,0.202505,0.00020153492169843005
13,0.608691,0.571459,0.242515,0.00018712741594153072
14,0.607157,0.566859,0.220587,0.00017239530601564066
15,0.607728,0.568012,0.230728,0.0001575000000000001
16,0.606852,0.564308,0.226352,0.00014260469398435946
17,0.605049,0.566682,0.242755,0.00012787258405846935
18,0.606026,0.567492,0.241408,0.00011346507830157006
19,0.607919,0.569522,0.261971,9.954002836169853e-05
20,0.604374,0.57514,0.271924,8.625000000000008e-05
21,0.607267,0.568065,0.244768,7.374060154832264e-05
22,0.607081,0.571248,0.256572,6.214888859386279e-05
23,0.607951,0.570211,0.258231,5.160186236947137e-05
24,0.605246,0.565418,0.248426,4.221507830157003e-05
25,0.605072,0.562344,0.215516,3.409137996071751e-05
26,0.603725,0.567033,0.239082,2.7319772285929374e-05
27,0.603492,0.566191,0.255181,2.197444642794063e-05
28,0.603278,0.565649,0.248267,1.811396689543269e-05
29,0.603044,0.56663,0.245685,1.578062991002104e-05
30,0.604347,0.564984,0.229515,1.4999999999999999e-05
