epoch,train_loss,val_loss,macro_f1
1,0.635728,0.58006,0.053401
2,0.613641,0.567825,0.150007
3,0.600721,0.560151,0.265067
4,0.593003,0.558456,0.383673
5,0.586559,0.547812,0.193455
6,0.579278,0.543739,0.340057
7,0.577415,0.551747,0.447395
8,0.57614,0.539411,0.392583
9,0.57461,0.535856,0.394322
10,0.572178,0.541073,0.390028
11,0.568274,0.534894,0.418926
12,0.566869,0.535012,0.418782
13,0.569305,0.540825,0.417967
14,0.565589,0.529822,0.411475
15,0.568325,0.536468,0.440767
16,0.566091,0.531575,0.422895
17,0.564818,0.531914,0.464284
18,0.564826,0.527938,0.440093
19,0.565819,0.52917,0.439231
20,0.561508,0.526849,0.415976
21,0.565253,0.530015,0.457031
22,0.561273,0.527706,0.456605
23,0.564548,0.533829,0.462233
24,0.561145,0.527247,0.433951
25,0.564293,0.52799,0.443672
26,0.560596,0.526922,0.443896
27,0.561932,0.528287,0.451967
28,0.561121,0.527873,0.451512
29,0.557535,0.527413,0.445295
30,0.558069,0.527692,0.446514
