stutter_type,f1,precision,recall,auprc
Block,0.45733788395904434,0.5089779005524862,0.4152112676056338,0.5008348299555287
Prolongation,0.10202655485674354,0.6083333333333333,0.05568268497330282,0.4458141365066408
SoundRep,0.3049056603773585,0.4891041162227603,0.22149122807017543,0.39863756807354456
WordRep,0.24702058504875407,0.6129032258064516,0.1546811397557666,0.37278958119635874
Interjection,0.2677002583979328,0.6540404040404041,0.1682910981156595,0.5254033177395426
