stutter_type,f1,precision,recall,auprc
Block,0.6023072252580449,0.6530612244897959,0.5588732394366197,0.6796160264222327
Prolongation,0.5887372013651877,0.6679574056147144,0.5263157894736842,0.6941788472819055
SoundRep,0.6209824135839903,0.694708276797829,0.5614035087719298,0.7031611742319235
WordRep,0.6948555320648344,0.7228739002932552,0.6689280868385346,0.7683629178300594
Interjection,0.7867931155602389,0.8562691131498471,0.7277452891487979,0.8841114207203576
