epoch,train_loss,val_loss,macro_f1
1,0.63465,0.573368,0.128004
2,0.609639,0.561132,0.144582
3,0.601266,0.561736,0.23636
4,0.599563,0.549447,0.17727
5,0.596673,0.548696,0.205988
6,0.593064,0.546669,0.22276
7,0.591181,0.568115,0.422244
8,0.589886,0.544878,0.350727
9,0.589856,0.542073,0.338342
10,0.589123,0.544929,0.307716
11,0.585427,0.55062,0.388363
12,0.582321,0.54491,0.308318
13,0.583893,0.543161,0.352364
14,0.580603,0.536329,0.372222
15,0.581858,0.538701,0.395292
16,0.580321,0.535355,0.400927
17,0.578348,0.541436,0.4233
18,0.576536,0.530676,0.38463
19,0.579177,0.53135,0.382223
20,0.577387,0.528024,0.397146
21,0.577496,0.533191,0.429675
22,0.57697,0.526262,0.377282
23,0.576439,0.537731,0.445111
24,0.573688,0.531691,0.391043
25,0.576022,0.534388,0.433815
26,0.574176,0.529305,0.431716
27,0.573432,0.528223,0.428763
28,0.571821,0.535094,0.428909
29,0.569169,0.527126,0.422899
30,0.570689,0.535828,0.421238
31,0.570889,0.531269,0.440709
32,0.572068,0.524216,0.404764
33,0.568997,0.526272,0.438066
34,0.568502,0.529024,0.44569
35,0.566198,0.524435,0.425329
36,0.568471,0.52706,0.416619
37,0.566111,0.527128,0.427649
38,0.566038,0.52884,0.432338
39,0.56545,0.523776,0.410996
40,0.568311,0.524828,0.436869
41,0.568895,0.522945,0.43341
42,0.571005,0.524818,0.442393
43,0.565598,0.523513,0.433695
44,0.565359,0.520831,0.427904
45,0.568062,0.523451,0.430246
46,0.565797,0.523218,0.435018
47,0.565668,0.523146,0.434063
48,0.566051,0.523543,0.435446
49,0.565527,0.525917,0.432335
50,0.563867,0.522684,0.440479
